id,title,type,release_year,age_certification,runtime,imdb_score,imdb_votes
tm84618,Taxi Driver,MOVIE,1976,R,113,8.3,795222
tm127384,Monty Python and the Holy Grail,MOVIE,1975,PG,91,8.2,530877
tm70993,Life of Brian,MOVIE,1979,R,94,8,392419
tm190788,The Exorcist,MOVIE,1973,R,133,8.1,391942
ts22164,Monty Python's Flying Circus,SHOW,1969,TV-14,30,8.8,72895
tm14873,Dirty Harry,MOVIE,1971,R,102,7.7,153463
tm185072,My Fair Lady,MOVIE,1964,G,170,7.8,94121
tm98978,The Blue Lagoon,MOVIE,1980,R,104,5.8,69053
tm119281,Bonnie and Clyde,MOVIE,1967,R,110,7.7,111189
tm67378,The Professionals,MOVIE,1966,PG-13,117,7.3,16168
tm44204,The Guns of Navarone,MOVIE,1961,,158,7.5,50150
tm69778,Lupin the Third: The Castle of Cagliostro,MOVIE,1979,PG,100,7.6,30277
tm69997,Richard Pryor: Live in Concert,MOVIE,1979,R,78,8.1,5141
tm96649,The Long Riders,MOVIE,1980,R,99,6.9,11329
tm16479,White Christmas,MOVIE,1954,,115,7.5,42373
tm135083,Cairo Station,MOVIE,1958,,77,7.5,4385
tm14491,The Queen,MOVIE,1968,,68,7.2,1117
tm89386,Hitler: A Career,MOVIE,1977,PG,150,7.5,2416
tm156453,FTA,MOVIE,1972,R,97,6.2,411
tm27298,Saladin the Victorious,MOVIE,1963,,186,7.6,2470
tm356209,Singapore,MOVIE,1960,,158,6.4,82
tm204541,Dark Waters,MOVIE,1956,,120,6.7,590
tm14350,Alexandriaâ€¦ Why?,MOVIE,1979,,133,7.2,1689
tm102287,Raya and Sakina,MOVIE,1953,,105,6.8,231
tm76557,No Longer Kids,MOVIE,1979,,235,9,943
tm71909,Amrapali,MOVIE,1966,,120,6.7,225
tm94651,Dostana,MOVIE,1980,,161,2.1,25
tm19608,The Blazing Sun,MOVIE,1954,,100,7.4,1219
ts45948,Monty Python's Fliegender Zirkus,SHOW,1972,TV-MA,43,8.1,2144
tm90896,The Return of the Prodigal Son,MOVIE,1976,,124,7.2,768
tm75975,Prince,MOVIE,1969,,152,6.9,168
tm107372,Manoranjan,MOVIE,1974,,162,6.5,236
tm200475,"Beirut, Oh Beirut",MOVIE,1975,,110,6.5,106
tm259855,We Are All for the Fatherland,MOVIE,1979,,74,6.2,43
tm259684,Whispers,MOVIE,1980,,93,7.8,75
tm344089,Lal Patthar,MOVIE,1971,,153,6.2,137
tm358653,Ujala,MOVIE,1959,,142,6.7,78
tm100027,Alibaba Aur 40 Chor,MOVIE,1979,,138,6.2,555
tm10204,Professor,MOVIE,1962,,163,6.8,285
tm403346,Chadi Jawani Budhe Nu,MOVIE,1976,,135,4.6,14
tm16812,Bandie,MOVIE,1978,,141,4.2,35
tm336403,Khoon Khoon,MOVIE,1973,,131,5.1,41
tm119776,Top Gun,MOVIE,1986,PG,110,6.9,329656
ts20681,Seinfeld,SHOW,1989,TV-PG,24,8.9,302700
tm111075,Stand by Me,MOVIE,1986,R,89,8.1,392790
tm180542,Once Upon a Time in America,MOVIE,1984,R,229,8.3,342335
tm138875,When Harry Met Sally...,MOVIE,1989,R,96,7.7,212913
tm155792,Teenage Mutant Ninja Turtles,MOVIE,1990,PG,93,6.7,92647
tm22327,Full Metal Jacket,MOVIE,1987,R,116,8.3,723306
tm54450,Christine,MOVIE,1983,R,90,6.7,80945
tm2386,A Nightmare on Elm Street,MOVIE,1984,R,91,7.4,230543
ts22082,Knight Rider,SHOW,1982,TV-PG,51,6.9,33760
tm145608,Awakenings,MOVIE,1990,PG-13,120,7.8,137549
ts21715,Thomas & Friends,SHOW,1984,TV-Y,10,6.5,4948
tm41289,Annie,MOVIE,1982,PG,127,6.6,44866
tm132694,Pet Sematary,MOVIE,1989,R,103,6.5,102212
ts20678,Saved by the Bell,SHOW,1989,TV-G,23,7.1,34854
tm117580,She's Gotta Have It,MOVIE,1986,R,84,6.7,14277
tm20712,Eddie Murphy Raw,MOVIE,1987,R,93,7.6,19646
tm130586,Endless Love,MOVIE,1981,R,116,4.9,8374
ts25028,Wheel of Fortune,SHOW,1983,TV-G,26,6.7,3126
ts23753,Major Dad,SHOW,1989,TV-PG,24,6.4,2866
ts2760,Fireman Sam,SHOW,1987,TV-Y,10,6.1,1759
ts987,Danger Mouse,SHOW,1981,TV-Y,15,7.4,3514
tm125985,Mobile Suit Gundam II: Soldiers of Sorrow,MOVIE,1981,,133,7.2,1242
tm40103,Mobile Suit Gundam: Char's Counterattack,MOVIE,1988,,120,7.3,1649
tm21953,Sam Kinison: Breaking the Rules,MOVIE,1987,R,50,7.2,651
tm152839,Tim Allen: Men Are Pigs,MOVIE,1990,,30,6,353
tm62924,Monty Python Live at the Hollywood Bowl,MOVIE,1982,R,77,7.9,15186
tm114356,The George McKenna Story,MOVIE,1988,,100,6,901
tm147829,Unspeakable Acts,MOVIE,1990,,100,6,448
tm126769,Waiting for the Hearse,MOVIE,1985,,87,8,6285
tm49037,Mobile Suit Gundam III: Encounters in Space,MOVIE,1982,,144,7.7,1210
tm159912,Agneepath,MOVIE,1990,,174,7.6,8902
tm133914,Parrot Sketch Not Included: Twenty Years of Monty Python,MOVIE,1989,,72,8.1,1522
tm38736,Too Young The Hero,MOVIE,1988,,100,6.7,494
tm258072,Adam: His Song Continues,MOVIE,1986,,100,7,209
tm52815,Disco Dancer,MOVIE,1982,,134,6.5,1449
tm137013,The Ryan White Story,MOVIE,1989,,102,7.2,857
tm157853,In Defense of a Married Man,MOVIE,1990,,94,5.6,200
tm157603,Dil,MOVIE,1990,,172,6.6,5273
tm45720,Bye Bye London,MOVIE,1982,,170,8.7,154
tm55091,Quiet Victory: The Charlie Wedemeyer Story,MOVIE,1988,,100,7.1,144
tm151332,"Alexandria, Again and Forever",MOVIE,1989,,105,6.5,643
tm24110,Strange Voices,MOVIE,1987,,100,6.3,357
tm348735,Aakhri Adaalat,MOVIE,1988,,148,5.1,92
tm51083,A Stoning in Fulham County,MOVIE,1988,,120,5.8,380
tm311264,Muqaddar Ka Faisla,MOVIE,1987,,172,4.8,68
tm172482,Sohni Mahiwal,MOVIE,1984,,160,6.1,297
tm52274,The Little Wars,MOVIE,1982,,108,6.3,149
tm342996,Duniya,MOVIE,1984,,170,6.2,241
ts63001,High Risk,SHOW,1988,TV-PG,50,3.8,6
tm411457,Pyar Ke Do Pal,MOVIE,1986,,153,6.1,65
tm371359,Jaal,MOVIE,1986,,159,5.2,122
tm446654,Mujrim,MOVIE,1989,,162,5.4,188
tm47673,An Egyptian Story,MOVIE,1982,,129,7.3,1113
tm419052,Ek Jaan Hain Hum,MOVIE,1983,,151,6.3,70
tm11556,The Quick and the Dead,MOVIE,1995,R,107,6.5,92224
ts20981,Survivor,SHOW,2000,TV-PG,48,7.4,24368
ts22176,Stargate SG-1,SHOW,1997,TV-PG,44,8.4,90196
ts21223,PokÃ©mon,SHOW,1997,TV-Y7,22,7.6,172
tm122434,Forrest Gump,MOVIE,1994,PG-13,142,8.8,1994599
tm106462,Happy Gilmore,MOVIE,1996,PG-13,92,7,217534
ts20339,One Piece,SHOW,1999,TV-14,23,8.8,112586
tm57554,Saving Private Ryan,MOVIE,1998,R,169,8.6,1346020
ts34435,Cowboy Bebop,SHOW,1998,TV-14,25,8.9,112887
ts20927,Star Trek: Deep Space Nine,SHOW,1993,TV-PG,47,8.1,61145
ts5145,The Challenge,SHOW,1998,TV-14,40,7.8,3274
tm192405,Gattaca,MOVIE,1997,PG-13,106,7.8,298168
ts21567,Gilmore Girls,SHOW,2000,TV-14,46,8.2,119054
tm55553,Blade,MOVIE,1998,R,120,7.1,267181
tm56574,You've Got Mail,MOVIE,1998,PG,119,6.7,209258
tm192037,Starship Troopers,MOVIE,1997,R,129,7.3,288960
ts20983,Neon Genesis Evangelion,SHOW,1995,TV-14,24,8.5,64727
ts22193,The Magic School Bus,SHOW,1994,TV-Y,26,7.8,9708
tm191989,Donnie Brasco,MOVIE,1997,R,127,7.7,300073
ts20960,Power Rangers,SHOW,1993,TV-Y7,22,6.5,21949
tm65686,U.S. Marshals,MOVIE,1998,PG-13,126,6.5,103263
ts11397,Adventures of Sonic the Hedgehog,SHOW,1993,TV-Y7,22,6.2,3808
tm54903,Wild Things,MOVIE,1998,R,108,6.6,118811
tm187187,Last Action Hero,MOVIE,1993,PG-13,130,6.4,149290
tm191772,Seven Years in Tibet,MOVIE,1997,PG-13,136,7.1,141308
tm191848,The Devil's Advocate,MOVIE,1997,,144,7.5,361422
tm121879,A River Runs Through It,MOVIE,1992,PG,123,7.2,59086
tm44402,"Girl, Interrupted",MOVIE,1999,R,127,7.3,180532
ts22489,Goosebumps,SHOW,1995,TV-PG,22,7.6,13361
ts25252,Yu-Gi-Oh!,SHOW,1998,TV-Y,22,7.2,20888
ts21034,InuYasha,SHOW,2000,TV-14,25,7.9,15823
tm53419,Any Given Sunday,MOVIE,1999,R,162,6.9,118479
tm189764,Menace II Society,MOVIE,1993,R,97,7.5,57399
tm9323,Desperado,MOVIE,1995,R,104,7.1,183638
tm46173,The Mask of Zorro,MOVIE,1998,PG-13,136,6.8,181306
tm19673,The Patriot,MOVIE,2000,R,165,7.2,270231
tm24877,Road Trip,MOVIE,2000,R,93,6.5,167670
tm189433,Free Willy,MOVIE,1993,PG,112,6,75244
tm1822,3 Ninjas Kick Back,MOVIE,1994,PG,93,4.5,9208
tm187791,In the Line of Fire,MOVIE,1993,R,128,7.2,101939
tm19494,The Replacements,MOVIE,2000,PG-13,118,6.6,64087
tm10739,Johnny Mnemonic,MOVIE,1995,R,97,5.6,71062
tm113576,Little Women,MOVIE,1994,PG,115,7.3,57621
tm191387,Anaconda,MOVIE,1997,PG-13,89,4.8,103459
tm6859,My Girl,MOVIE,1991,PG,103,6.9,79800
tm186589,Cliffhanger,MOVIE,1993,R,112,6.5,128179
tm191374,I Know What You Did Last Summer,MOVIE,1997,R,101,5.7,142696
tm8446,Teenage Mutant Ninja Turtles II: The Secret of the Ooze,MOVIE,1991,PG,88,6,55499
ts8570,Barney & Friends,SHOW,1992,TV-G,28,3.8,9955
tm21596,Hollow Man,MOVIE,2000,R,112,5.8,130099
tm48430,Godzilla,MOVIE,1998,PG-13,133,5.4,191722
tm190835,Neon Genesis Evangelion: The End of Evangelion,MOVIE,1997,,87,8,51938
tm192199,Spawn,MOVIE,1997,PG-13,96,5.2,67761
tm184205,Dennis the Menace,MOVIE,1993,PG,95,5.6,60779
tm12499,The Net,MOVIE,1995,PG-13,114,5.9,66127
tm192431,The Devil's Own,MOVIE,1997,R,107,6.2,64625
tm56033,Croupier,MOVIE,1998,R,94,7,21382
tm190486,Teenage Mutant Ninja Turtles III,MOVIE,1993,PG,96,4.7,33128
tm61103,The General's Daughter,MOVIE,1999,R,116,6.4,58726
tm117488,The Next Karate Kid,MOVIE,1994,PG,107,4.5,30138
tm55732,I Still Know What You Did Last Summer,MOVIE,1998,R,100,4.7,73269
tm191431,Double Team,MOVIE,1997,R,93,4.7,34127
tm17721,Under Suspicion,MOVIE,2000,R,110,6.5,25432
ts20939,Moesha,SHOW,1996,TV-PG,21,5.7,3713
ts21693,"Sister, Sister",SHOW,1994,TV-PG,22,6.2,12535
